iter	Passed	Remaining
0	0	455
1	1	446
2	2	420
3	3	402
4	4	403
5	4	400
6	5	390
7	6	388
8	7	387
9	7	383
10	8	382
11	9	381
12	10	378
13	10	376
14	11	377
15	12	374
16	13	374
17	13	372
18	14	368
19	15	367
20	16	380
21	17	383
22	18	385
23	19	385
24	20	384
25	21	385
26	21	385
27	22	387
28	23	388
29	24	389
30	25	387
31	26	387
32	27	386
33	28	386
34	28	385
35	30	386
36	30	386
37	31	385
38	32	385
39	33	385
40	34	385
41	35	384
42	36	383
43	37	384
44	37	384
45	38	383
46	39	382
47	40	382
48	41	380
49	42	379
50	42	377
51	43	376
52	44	374
53	45	373
54	45	371
55	46	369
56	47	368
57	48	367
58	49	366
59	49	364
60	50	364
61	51	362
62	52	361
63	53	361
64	53	359
65	54	358
66	55	356
67	56	356
68	56	354
69	57	353
70	58	352
71	59	350
72	59	349
73	60	349
74	61	347
75	62	347
76	62	345
77	63	344
78	64	343
79	65	342
80	66	341
81	66	340
82	67	339
83	68	338
84	69	336
85	69	336
86	70	335
87	71	334
88	72	333
89	72	332
90	73	331
91	74	330
92	75	328
93	75	327
94	76	326
95	77	325
96	78	324
97	78	323
98	79	322
99	80	322
100	81	321
101	81	319
102	83	320
103	83	318
104	84	318
105	85	316
106	85	315
107	86	314
108	87	313
109	88	312
110	88	311
111	89	310
112	90	309
113	91	308
114	92	308
115	92	306
116	93	306
117	94	305
118	95	304
119	95	303
120	96	302
121	97	302
122	98	301
123	98	300
124	99	299
125	100	298
126	101	297
127	101	296
128	102	295
129	103	294
130	104	293
131	104	292
132	105	291
133	106	290
134	107	289
135	107	288
136	108	288
137	109	287
138	110	286
139	111	285
140	111	284
141	112	283
142	113	283
143	114	282
144	114	281
145	115	280
146	116	279
147	117	278
148	117	277
149	118	276
150	119	275
151	119	274
152	120	273
153	121	272
154	122	271
155	122	270
156	123	269
157	124	268
158	124	267
159	125	266
160	126	266
161	127	265
162	127	264
163	128	263
164	129	262
165	129	261
166	130	260
167	131	259
168	132	258
169	132	258
170	133	257
171	134	256
172	135	255
173	135	254
174	136	253
175	137	253
176	138	252
177	138	251
178	139	250
179	140	249
180	141	248
181	141	247
182	142	246
183	143	246
184	143	245
185	144	244
186	145	243
187	146	242
188	146	241
189	147	240
190	148	240
191	149	239
192	149	238
193	150	237
194	151	236
195	152	235
196	153	235
197	153	234
198	154	234
199	155	233
200	156	232
201	157	231
202	157	231
203	158	230
204	159	229
205	160	228
206	161	228
207	162	228
208	163	227
209	164	226
210	164	225
211	165	225
212	166	224
213	167	223
214	168	222
215	168	222
216	169	221
217	170	220
218	171	219
219	172	219
220	172	218
221	173	217
222	174	216
223	175	216
224	176	215
225	177	214
226	178	214
227	178	213
228	179	212
229	180	212
230	181	211
231	182	210
232	183	209
233	184	209
234	185	208
235	185	207
236	186	207
237	187	206
238	188	205
239	189	205
240	190	204
241	191	203
242	191	202
243	192	202
244	193	201
245	194	200
246	195	200
